Source,Title,Author,Type,Themes,Tones,Avg Rating,Pages,Year,Date Added,Similar To,BBRE Score,Why Youd Like It,Why You Might Not,Keep (Y/N/Maybe)
to-read,The Crash,Freida McFadden,fiction,"thriller, psychological, suspense","fast-paced, twisty, unreliable-narrator, tense",4,388,2025,2025/03/23,"Never Lie, The Teacher, B.A. Paris",60,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Second-Smartest Dog That Ever Lived,Will Pass,fiction,"thriller, mystery, humor","fast-paced, procedural, whodunit, tense",3.9,387,2024,2024/12/15,"The Rosie Project (Don Tillman, #1), Remarkably Bright Creatures, Graeme Simsion",60,"Fast-paced thriller. If you like Graeme Simsion, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Black Sheep,Rachel Harrison,fiction,"thriller, horror, speculative","atmospheric, fast-paced, slow-burn, dark",3.6,289,2023,2023/11/18,"The Outsider, The Stand, Stephen King",60,"Atmospheric thriller. If you like Stephen King, this hits the same notes.",Below-average community rating (3.6/5) — may underdeliver. Dark or heavy subject matter.,
candidate pool,Wool,Hugh Howey,fiction,"speculative, mystery",,4.22,528,2012,,"Dark Matter, Project Hail Mary, Blake Crouch",60,"Fast-paced thriller. If you like Blake Crouch, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,Goodbye Girl,James Grippando,fiction,"thriller, legal, music history, tech history, true crime",,3.87,320,2024,,"The Client, The Firm (The Firm, #1), John Grisham",60,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",Modest rating (3.87/5). Mixed reader reactions.,
candidate pool,You Will Never Be Me,Jesse Q. Sutanto,fiction,"thriller, psychological, tech history",,3.7,352,2024,,"Behind Closed Doors, Never Lie, Freida McFadden",60,"Fast-paced thriller. If you like Freida McFadden, this hits the same notes.",Modest rating (3.7/5). Mixed reader reactions.,
candidate pool,What Have You Done,Shari Lapena,fiction,"thriller, psychological, crime",,3.7,320,2024,,"Behind Closed Doors, The Silent Patient, Freida McFadden",60,"Fast-paced thriller. If you like Freida McFadden, this hits the same notes.",Modest rating (3.7/5). Mixed reader reactions.,
candidate pool,Open and Shut,David Rosenfelt,fiction,"thriller, legal, humor",,3.9,290,2002,,"The Firm (The Firm, #1), The Client, John Grisham",60,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Dirty 20,Bill Schweigart,fiction,"thriller, military, suspense","fast-paced, tense, gritty",4,416,2026,2026/04/25,"The Outsider, Billy Summers, Stephen King",59,"Fast-paced thriller. If you like Stephen King, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Everything Is Tuberculosis: The History and Persistence of Our Deadliest Infection,John Green,nonfiction,"narrative nonfiction, history","heartwarming, melancholic, character-driven, narrative-driven",3.9,198,2025,2025/02/18,"When Breath Becomes Air, The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race, Paul Kalanithi",59,"Narrative nonfiction — reads like a novel about history. If you like Paul Kalanithi, this hits the same notes.",Short at 198 pages — may feel slight.,
to-read,Things Don't Break on Their Own,Sarah Easter Collins,fiction,"thriller, psychological, suspense","tense, fast-paced, dark, character-driven",3.8,259,2024,2024/07/17,"The Silent Patient, Before I Go to Sleep, B.A. Paris",59,"Tense thriller. If you like B.A. Paris, this hits the same notes.",Modest rating (3.8/5). Dark or heavy subject matter.,
to-read,Yellowface,R.F. Kuang,fiction,"thriller, literary, psychological","character-driven, tense, fast-paced, slow-burn",4,319,2023,2023/12/10,"The Plot (The Book Series, #1), Verity, Jean Hanff Korelitz",59,"Tense thriller. If you like Jean Hanff Korelitz, this hits the same notes.",Less plot-driven than typical genre fiction.,
to-read,"Diablo Mesa (Nora Kelly, #3)",Douglas Preston,fiction,"thriller, mystery, suspense","fast-paced, tense, procedural, whodunit",4,385,2022,2022/01/03,"City of Endless Night (Pendergast, #17), The Silent Patient, Alex Michaelides",59,"Fast-paced thriller. If you like Alex Michaelides, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,George Lucas: A Life,Brian Jay Jones,nonfiction,"biography, narrative nonfiction, business","narrative-driven, accessible, character-study",4,550,2016,2020/09/22,"Steve Jobs, Elon Musk, Walter Isaacson",59,"In-depth biography. If you like Walter Isaacson, this hits the same notes.",Long commitment at 550 pages.,
candidate pool,A Calamity of Souls,David Baldacci,fiction,"thriller, legal, social commentary, history, courtroom",,4.2,400,2024,,"A Time to Kill (Jake Brigance, #1), Presumed Innocent, John Grisham",59,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,Alien Clay,Adrian Tchaikovsky,fiction,"sci-fi, political, literary",,3.89,390,2024,,"Project Hail Mary, Dark Matter, Andy Weir",59,"Inventive speculative premise. If you like Andy Weir, this hits the same notes.",Modest rating (3.89/5). Character-driven literary fiction — light on plot momentum.,
to-read,The Note,Alafair Burke,fiction,"thriller, mystery, suspense","fast-paced, twisty, procedural, tense",3.9,287,2025,2026/05/31,"The Silent Patient, The Woman in the Window, Shari Lapena",58,"Fast-paced thriller. If you like Shari Lapena, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Anniversary,Alex Finlay,fiction,"thriller, suspense, mystery","fast-paced, twisty, tense",4,325,2026,2026/03/18,"The Silent Patient, First Lie Wins, Alex Michaelides",58,"Fast-paced thriller. If you like Alex Michaelides, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,nonfiction,"tech history, history, narrative nonfiction","dense, revelatory, accessible, polemic",3.8,528,2024,2024/09/24,"The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution, Elon Musk, Walter Isaacson",58,"Narrative nonfiction — reads like a novel about tech history. If you like Walter Isaacson, this hits the same notes.",Modest rating (3.8/5). Long commitment at 528 pages.,
to-read,Revival,Stephen King,fiction,"thriller, horror, literary","atmospheric, dark, character-driven, fast-paced",3.8,405,2014,2024/04/13,"The Outsider, The Stand, Blake Crouch",58,"Atmospheric thriller. If you like Blake Crouch, this hits the same notes.",Modest rating (3.8/5). Dark or heavy subject matter.,
to-read,Going Zero,Anthony McCarten,fiction,"thriller, speculative, high-concept","fast-paced, twisty, slow-burn, atmospheric",3.7,304,2023,2023/09/23,"Recursion, Dark Matter, Blake Crouch",58,"Fast-paced thriller. If you like Blake Crouch, this hits the same notes.",Modest rating (3.7/5).,
to-read,"The Cold Cold Ground (Detective Sean Duffy, #1)",Adrian McKinty,fiction,"mystery, thriller","fast-paced, procedural, whodunit, tense",4.1,320,2012,2023/06/10,"The Chain, The Outsider, Stephen King",58,"Fast-paced mystery. If you like Stephen King, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Last Trial (Kindle County Legal Thriller #11),Scott Turow,fiction,"legal, thriller, courtroom","procedural, tense, character-driven, fast-paced",4,464,2020,2020/05/27,"Presumed Innocent, Pleading Guilty (Kindle County, #3), John Grisham",58,"Tense thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,The Last Flight,Julie Clark,fiction,thriller,,4.09,320,2020,,"Behind Closed Doors, The Housemaid, B.A. Paris",58,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,Funny Story,Emily Henry,fiction,"romance, humor",,4.18,400,2024,,"Romantic Comedy, After I Do, Taylor Jenkins Reid",58,"Engaging fiction. If you like Taylor Jenkins Reid, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The French Illusion,John Grisham,fiction,"legal, thriller, courtroom","fast-paced, procedural, plot-driven, tense",4.1,352,2026,2026/03/17,"The Firm (The Firm, #1), A Time to Kill (Jake Brigance, #1), Scott Turow",57,"Fast-paced thriller. If you like Scott Turow, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Dating After the End of the World,Jeneva Rose,fiction,"speculative, romance, dystopia","fast-paced, twisty, dark, atmospheric",3.9,293,2025,2025/10/09,"The Measure, The Invisible Life of Addie LaRue, Nikki Erlick",57,"Inventive speculative premise. If you like Nikki Erlick, this hits the same notes.",Dark or heavy subject matter.,
to-read,A Hollywood Ending: The Dreams and Drama of the LeBron Lakers,Yaron Weitzman,nonfiction,"sports, biography, narrative nonfiction","narrative-driven, accessible, character-study",4,320,2025,2025/08/05,"Tanking to the Top: The Philadelphia 76ers and the Most Audacious Process in the History of Professional Sports, Three-Ring Circus: Kobe, Shaq, Phil, and the Crazy Years of the Lakers Dynasty, Jeff Pearlman",57,"In-depth biography. If you like Jeff Pearlman, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Local Woman Missing,Mary Kubica,fiction,"thriller, mystery, psychological","tense, fast-paced, dark, procedural",3.8,356,2021,2024/06/25,"The Silent Patient, The Woman in the Window, B.A. Paris",57,"Tense thriller. If you like B.A. Paris, this hits the same notes.",Modest rating (3.8/5). Dark or heavy subject matter.,
to-read,The Perks of Being a Wallflower,Stephen Chbosky,fiction,"literary, coming-of-age","character-driven, slow-burn, atmospheric, heartwarming",4.1,213,1999,2025/03/21,"Looking for Alaska, Turtles All the Way Down, John Green",57,"Rich character work and atmospheric prose. If you like John Green, this hits the same notes.",Slow-burn pacing — not a fast thriller. Character-driven literary fiction — light on plot momentum.,
to-read,Family of Spies,Christine Kuehn,fiction,"thriller, suspense, spy","fast-paced, tense, cat-and-mouse, plot-driven",3.9,272,2025,2025/12/24,"The Silent Patient, The Woman in the Window, B.A. Paris",56,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Magic for Liars,Sarah Gailey,fiction,"mystery, speculative, thriller","fast-paced, slow-burn, procedural, whodunit",3.7,336,2019,2025/12/20,"The Echo Wife, The Silent Patient, Alex Michaelides",56,"Fast-paced mystery. If you like Alex Michaelides, this hits the same notes.",Modest rating (3.7/5).,
to-read,We Used to Live Here,Marcus Kliewer,fiction,"thriller, horror, suspense","fast-paced, tense, dark, disturbing",3.9,312,2024,2025/07/13,"The Outsider, World War Z: An Oral History of the Zombie War, Stephen King",56,"Fast-paced thriller. If you like Stephen King, this hits the same notes.",Dark or heavy subject matter.,
to-read,Challenger: A True Story of Heroism and Disaster on the Edge of Space,Adam Higginbotham,nonfiction,"narrative nonfiction, history, adventure","narrative-driven, tense, investigative, disturbing",4.3,563,2024,2024/05/01,"When the Heavens Went on Sale: The Misfits and Geniuses Racing to Put Space Within Reach, Into Thin Air, Ashlee Vance",56,"Narrative nonfiction — reads like a novel about history. If you like Ashlee Vance, this hits the same notes.",Long commitment at 563 pages.,
to-read,Why I Cook,Tom Colicchio,nonfiction,"memoir, narrative nonfiction","character-study, narrative-driven, accessible, personal",4,320,2024,2024/11/15,"Eat a Peach, Yes, Chef, David Chang",56,"Personal, candid memoir. If you like David Chang, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Cassandra in Reverse,Holly Smale,fiction,"speculative, romance, literary","slow-burn, character-driven, atmospheric, heartwarming",3.8,362,2023,2023/06/28,"The Measure, The Invisible Life of Addie LaRue, Nikki Erlick",56,"Inventive speculative premise. If you like Nikki Erlick, this hits the same notes.",Modest rating (3.8/5). Slow-burn pacing — not a fast thriller.,
to-read,The Latecomer,Jean Hanff Korelitz,fiction,"literary, historical, contemporary","slow-burn, character-driven, atmospheric",3.7,439,2022,2022/05/19,"The Plot (The Book Series, #1), Tomorrow, and Tomorrow, and Tomorrow, Gabrielle Zevin",56,"Rich character work and atmospheric prose. If you like Gabrielle Zevin, this hits the same notes.",Modest rating (3.7/5). Slow-burn pacing — not a fast thriller.,
to-read,"Constance (Constance, #1)",Matthew FitzSimmons,fiction,"sci-fi, speculative, thriller","slow-burn, atmospheric, fast-paced, tense",3.7,343,2021,2021/08/02,"Recursion, Dark Matter, Blake Crouch",56,"Atmospheric thriller. If you like Blake Crouch, this hits the same notes.",Modest rating (3.7/5).,
to-read,Is This Anything?,Jerry Seinfeld,nonfiction,"humor, narrative nonfiction","humorous, narrative-driven, accessible, conversational",4,480,2020,2020/09/30,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto, Yearbook, Chuck Klosterman",56,"Narrative nonfiction — reads like a novel about humor. If you like Chuck Klosterman, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
candidate pool,The Only One Left,Riley Sager,fiction,"thriller, mystery",,4.11,384,2023,,"Beautiful Ugly, Creep, Alice Feeney",56,"Fast-paced thriller. If you like Alice Feeney, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,Masters of Doom,David Kushner,nonfiction,"tech history, narrative nonfiction, business",,4.3,335,2003,,"The Everything Store: Jeff Bezos and the Age of Amazon, Steve Jobs, Ben Mezrich",56,"Narrative nonfiction — reads like a novel about finance. If you like Ben Mezrich, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,Everywhere That Mary Went,Lisa Scottoline,fiction,"thriller, legal, courtroom",,3.8,256,1994,,"Presumed Innocent, The Client, John Grisham",56,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",Modest rating (3.8/5). Mixed reader reactions.,
candidate pool,The Spy and the Traitor,Ben Macintyre,nonfiction,"spy, history",,4.5,368,2018,,"American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road, The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession, David Grann",56,"Narrative nonfiction with a propulsive story. If you like David Grann, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Dissection of a Murder,Jo Murray,fiction,"thriller, mystery, suspense","fast-paced, twisty, procedural",3.8,416,2026,2026/03/18,"The Silent Patient, Before I Go to Sleep, B.A. Paris",55,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",Modest rating (3.8/5).,
to-read,Listen for the Lie,Amy Tintera,fiction,"thriller, mystery, true crime","fast-paced, dark, procedural, whodunit",3.9,338,2024,2025/10/20,"The Silent Patient, Behind Closed Doors, B.A. Paris",55,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",Dark or heavy subject matter.,
to-read,Dissolution,Nicholas Binge,fiction,"speculative, thriller, sci-fi","slow-burn, atmospheric, fast-paced, tense",3.9,384,2025,2025/06/23,"Recursion, Dark Matter, Blake Crouch",55,"Atmospheric thriller. If you like Blake Crouch, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Sellout,Paul Beatty,fiction,"literary, humor, contemporary","character-driven, slow-burn, atmospheric, humorous",3.6,289,2015,2023/11/18,"Raised in Captivity: Fictional Nonfiction, Lake Success, Chuck Klosterman",55,"Rich character work and atmospheric prose. If you like Chuck Klosterman, this hits the same notes.",Below-average community rating (3.6/5) — may underdeliver. Slow-burn pacing — not a fast thriller.,
to-read,The Maidens,Alex Michaelides,fiction,"thriller, psychological, mystery","fast-paced, twisty, dark, tense",3.5,337,2021,2022/01/10,"The Silent Patient, Before I Go to Sleep, B.A. Paris",55,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",Below-average community rating (3.5/5) — may underdeliver. Dark or heavy subject matter.,
candidate pool,The Waiting,Michael Connelly,fiction,"thriller, crime",,4.35,416,2024,,"The Outsider, Dark Places, John Grisham",55,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,I Am Not a Robot: My Year Using AI to Do (Almost) Everything,Joanna Stern,nonfiction,"tech history, narrative nonfiction","humorous, conversational, accessible",3.8,320,2026,2026/05/08,"The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution, Elon Musk, Walter Isaacson",54,"Narrative nonfiction — reads like a novel about tech history. If you like Walter Isaacson, this hits the same notes.",Modest rating (3.8/5).,
to-read,Neptune's Fortune: The Billion-Dollar Shipwreck and the Ghosts of the Spanish Empire,Julian Sancton,nonfiction,"narrative nonfiction, adventure, history","narrative-driven, fast-paced, accessible, dense",3.9,384,2026,2025/12/20,"Madhouse at the End of the Earth: The Belgica's Journey into the Dark Antarctic Night, The Wager: A Tale of Shipwreck, Mutiny and Murder, David Grann",54,"Narrative nonfiction — reads like a novel about adventure. If you like David Grann, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,On Tyranny: Twenty Lessons from the Twentieth Century - Graphic Edition,Timothy Snyder,nonfiction,"history, narrative nonfiction","narrative-driven, accessible, dense",4.2,128,2021,2024/11/15,"A Promised Land, The Accidental President: Harry S. Truman and the Four Months That Changed the World, Barack Obama",54,"Narrative nonfiction — reads like a novel about history. If you like Barack Obama, this hits the same notes.",Short at 128 pages — may feel slight.,
to-read,The Merge,Grace Walker,fiction,"sci-fi, speculative, thriller","slow-burn, atmospheric, fast-paced, tense",3.9,320,2025,2025/12/06,"Recursion, Dark Matter, Blake Crouch",54,"Atmospheric thriller. If you like Blake Crouch, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Baddest Man: The Making of Mike Tyson,Mark Kriegel,nonfiction,"sports, biography, narrative nonfiction","narrative-driven, accessible, character-study",4.1,448,2025,2025/06/05,"Tiger Woods, The Last Folk Hero: The Life and Myth of Bo Jackson, Jeff Benedict",54,"In-depth biography. If you like Jeff Benedict, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Bad Company: Private Equity and the Death of the American Dream,Megan Greenwell,nonfiction,"business, finance, narrative nonfiction","accessible, narrative-driven, dense",3.9,294,2025,2025/06/20,"The Big Short: Inside the Doomsday Machine, Super Pumped: The Battle for Uber, Michael Lewis",54,"Narrative nonfiction — reads like a novel about business. If you like Michael Lewis, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Raised by a Serial Killer: Discovering the Truth About My Father,April Balascio,nonfiction,"true crime, memoir, narrative nonfiction","dark, investigative, character-study, narrative-driven",4.2,352,2024,2024/12/13,"American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road, Dopesick: Dealers, Doctors, and the Drug Company that Addicted America, Nick Bilton",54,"Personal, candid memoir. If you like Nick Bilton, this hits the same notes.",Dark or heavy subject matter.,
to-read,If You Can't Take the Heat,Michael Ruhlman,nonfiction,"memoir, narrative nonfiction","character-study, narrative-driven, accessible, personal",3.9,320,2024,2024/03/24,"Eat a Peach, Yes, Chef, David Chang",54,"Personal, candid memoir. If you like David Chang, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,"A Criminal Justice (Philadelphia Legal, #4)",William L. Myers Jr.,fiction,"legal, thriller, courtroom","fast-paced, procedural, tense, plot-driven",4.3,391,2020,2022/02/02,"A Time to Kill (Jake Brigance, #1), Presumed Innocent, John Grisham",54,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Therapist,B.A. Paris,fiction,"thriller, psychological, suspense","fast-paced, twisty, tense, dark",3.6,298,2021,2023/11/04,"Behind Closed Doors, The Breakdown, Shari Lapena",54,"Fast-paced thriller. If you like Shari Lapena, this hits the same notes.",Below-average community rating (3.6/5) — may underdeliver. Dark or heavy subject matter.,
to-read,The Mountain in the Sea,Ray Nayler,fiction,"sci-fi, speculative, literary","slow-burn, atmospheric, character-driven",3.9,452,2023,2023/05/31,"Seveneves, Project Hail Mary, Neal Stephenson",54,"Inventive speculative premise. If you like Neal Stephenson, this hits the same notes.",Slow-burn pacing — not a fast thriller. Character-driven literary fiction — light on plot momentum.,
to-read,Snow Crash,Neal Stephenson,fiction,"sci-fi, speculative, dystopia","atmospheric, slow-burn, dark",4,576,2022,2023/01/07,"Seveneves, Dark Matter, Blake Crouch",54,"Inventive speculative premise. If you like Blake Crouch, this hits the same notes.",Slow-burn pacing — not a fast thriller. Dark or heavy subject matter.,
to-read,How to Prevent the Next Pandemic,Bill Gates,nonfiction,"tech history, narrative nonfiction, history","narrative-driven, accessible, dense",3.8,304,2022,2022/04/28,"Source Code: My Beginnings, The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race, Walter Isaacson",54,"Narrative nonfiction — reads like a novel about tech history. If you like Walter Isaacson, this hits the same notes.",Modest rating (3.8/5).,
candidate pool,Anxious People,Fredrik Backman,fiction,"literary, humor",,4.16,352,2019,,"Remarkably Bright Creatures, The Rosie Project (Don Tillman, #1), Taylor Jenkins Reid",54,"Character-driven literary fiction. If you like Taylor Jenkins Reid, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Famesick,Lena Dunham,nonfiction,"memoir, humor","personal, conversational, humorous, melancholic",3.5,288,2026,2026/04/15,"Yearbook, A Life in Parts, Seth Rogen",53,"Personal, candid memoir. If you like Seth Rogen, this hits the same notes.",Below-average community rating (3.5/5) — may underdeliver.,
to-read,You Can't Lose Them All: Tales of a Degenerate Gambler and His Ridiculous Friends,Sal Iacono,nonfiction,"memoir, narrative nonfiction","fast-paced, personal, narrative-driven, dark",3.8,256,2021,2026/01/25,"Molly's Game: From Hollywood's Elite to Wall Street's Billionaire Boys Club, My High-Stakes Adventure in the World of Underground Poker, Ship It Holla Ballas!: How a Bunch of 19-Year-Old College Dropouts Used the Internet to Become Poker's Loudest, Craziest, and Richest Crew, Ben Mezrich",53,"Personal, candid memoir. If you like Ben Mezrich, this hits the same notes.",Modest rating (3.8/5). Dark or heavy subject matter.,
to-read,Not Quite Dead Yet,Holly Jackson,fiction,"thriller, mystery, suspense","fast-paced, tense, procedural, whodunit",4.1,400,2025,2025/08/10,"The Silent Patient, First Lie Wins, Alex Michaelides",53,"Fast-paced thriller. If you like Alex Michaelides, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Inmate,Freida McFadden,fiction,"thriller, psychological, suspense","fast-paced, twisty, unreliable-narrator, tense",4.1,388,2022,2025/01/30,"Never Lie, The Teacher, B.A. Paris",53,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,"Return of the King: LeBron James, The Cleveland Cavaliers and the Greatest Comeback in NBA History",Brian Windhorst,nonfiction,"sports, narrative nonfiction, biography","narrative-driven, accessible, character-study",4.1,288,2017,2024/05/20,"Three-Ring Circus: Kobe, Shaq, Phil, and the Crazy Years of the Lakers Dynasty, Giannis: The Improbable Rise of an NBA MVP, Jeff Pearlman",53,"In-depth biography. If you like Jeff Pearlman, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,"Traffic: Genius, Rivalry, and Delusion in the Billion-Dollar Race to Go Viral",Ben Smith,nonfiction,"tech history, narrative nonfiction, business","investigative, fast-paced, immersive-journalism",3.8,352,2023,2023/05/27,"Super Pumped: The Battle for Uber, Hatching Twitter: A True Story of Money, Power, Friendship, and Betrayal, Mike Isaac",53,"Narrative nonfiction — reads like a novel about tech history. If you like Mike Isaac, this hits the same notes.",Modest rating (3.8/5).,
candidate pool,The Splendid and the Vile,Erik Larson,nonfiction,"narrative nonfiction, history, military, biography, business",,4.28,546,2020,,"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War, Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission, David Grann",53,"In-depth biography. If you like David Grann, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,The Stranger,Harlan Coben,fiction,"thriller, domestic suspense",,3.9,400,2015,,"Behind Closed Doors, Never Lie, Freida McFadden",53,"Fast-paced thriller. If you like Freida McFadden, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,"In a Dark, Dark Wood",Ruth Ware,fiction,"crime, thriller, psychological",,3.7,352,2015,,"The Guest List, Behind Closed Doors, Freida McFadden",53,"Fast-paced thriller. If you like Freida McFadden, this hits the same notes.",Modest rating (3.7/5). Mixed reader reactions.,
candidate pool,Piranesi,Susanna Clarke,fiction,"mystery, speculative, literary",,4.2,272,2020,,"Dark Matter, Recursion, Blake Crouch",53,"Fast-paced thriller. If you like Blake Crouch, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Age of AI and Our Human Future,Henry Kissinger,nonfiction,"tech history, narrative nonfiction","dense, polemic",3.8,272,2021,2025/10/06,"The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution, Elon Musk, Walter Isaacson",52,"Narrative nonfiction — reads like a novel about tech history. If you like Walter Isaacson, this hits the same notes.","Modest rating (3.8/5). Dense, academic-leaning tone.",
to-read,"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,nonfiction,"tech history, narrative nonfiction, biography","narrative-driven, accessible, character-study",4.3,382,2025,2025/12/17,"Super Pumped: The Battle for Uber, The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius, and Betrayal, Mike Isaac",52,"In-depth biography. If you like Mike Isaac, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Made for Love,Alissa Nutting,fiction,"speculative, literary, humor","slow-burn, atmospheric, character-driven, humorous",3.5,307,2017,2023/11/18,"The Postmortal, The Rosie Project (Don Tillman, #1), Drew Magary",52,"Inventive speculative premise. If you like Drew Magary, this hits the same notes.",Below-average community rating (3.5/5) — may underdeliver. Slow-burn pacing — not a fast thriller.,
to-read,"Still Me (Me Before You, #3)",Jojo Moyes,fiction,"romance, literary, contemporary","character-driven, slow-burn, atmospheric, heartwarming",3.9,368,2018,2023/11/14,"One Day, The Statistical Probability of Love at First Sight, David Nicholls",52,"Rich character work and atmospheric prose. If you like David Nicholls, this hits the same notes.",Slow-burn pacing — not a fast thriller. Character-driven literary fiction — light on plot momentum.,
to-read,"Rogue Justice (Avery Keene, #2)",Stacey Abrams,fiction,"legal, thriller, political","fast-paced, procedural, investigative, tense",4,353,2023,2023/05/20,"A Time to Kill (Jake Brigance, #1), The President Is Missing, John Grisham",52,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The New One: Painfully True Stories from a Reluctant Dad,Mike Birbiglia,nonfiction,"humor, memoir, narrative nonfiction","conversational, character-study, humorous, narrative-driven",4,256,2020,2020/11/20,"Yearbook, Someone Could Get Hurt: A Memoir of Twenty-First-Century Parenthood, Seth Rogen",52,"Personal, candid memoir. If you like Seth Rogen, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
candidate pool,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,nonfiction,"narrative nonfiction, true crime, history, political",,4.47,441,2019,,"American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road, Dopesick: Dealers, Doctors, and the Drug Company that Addicted America, David Grann",52,"Gripping true crime narrative. If you like David Grann, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,No Exit,Taylor Adams,fiction,thriller,,4.0,291,2019,,"The Chain, The Housemaid (The Housemaid, #1), Freida McFadden",52,"Fast-paced thriller. If you like Freida McFadden, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Insomniacs,Allison Winn Scotch,fiction,"thriller, psychological, suspense","fast-paced, twisty, dark, tense",3.8,396,2026,2026/04/07,"The Silent Patient, Before I Go to Sleep, B.A. Paris",51,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",Modest rating (3.8/5). Dark or heavy subject matter.,
to-read,Empire of AI: Dreams and Nightmares in Sam Altman's OpenAI,Karen Hao,nonfiction,"tech history, narrative nonfiction, business","investigative, dark, revelatory, polemic",4.1,501,2025,2025/09/26,"Super Pumped: The Battle for Uber, Elon Musk, Mike Isaac",51,"Narrative nonfiction — reads like a novel about tech history. If you like Mike Isaac, this hits the same notes.",Dark or heavy subject matter. Long commitment at 501 pages.,
to-read,Wild Dark Shore,Charlotte McConaghy,fiction,"literary, speculative, adventure","fast-paced, tense, dark",3.9,298,2025,2025/06/23,"The Great Alone, In Ascension, Kristin Hannah",51,"Inventive speculative premise. If you like Kristin Hannah, this hits the same notes.",Dark or heavy subject matter.,
